A,B,p-value,Effect size
random,ga,0.345,"0.26, S"
random,ambiegen,0.14,"0.4, M"
random,rigaa,0.391,"0.244, S"
random,crag,0.621,"-0.133, N"
random,rilast,0.473,"0.2, S"
ga,ambiegen,0.678,"0.12, N"
ga,rigaa,1.0,"0.0, N"
ga,crag,0.223,"-0.317, S"
ga,rilast,0.623,"-0.14, N"
ambiegen,rigaa,0.775,"-0.089, N"
ambiegen,crag,0.07,"-0.467, M"
ambiegen,rilast,0.345,"-0.26, S"
rigaa,crag,0.166,"-0.37, M"
rigaa,rilast,0.488,"-0.2, S"
crag,rilast,0.199,"0.333, M"
