"Name","nlat","time","validation_loss"
"nlat: 25","25","549.5329999999999","0.13611621856689451"
"nlat: 19","19","527.828","0.13752185516357424"
"nlat: 20","20","553.1486666666666","0.1376626536051432"
"nlat: 22","22","563.3196666666666","0.1412570940653483"
"nlat: 16","16","527.0252","0.22034622039794924"
"nlat: 15","15","528.4638","0.28921061248779295"
"nlat: 14","14","531.3206","0.36330364990234376"
"nlat: 12","12","529.7402000000001","0.5481857666015625"
"nlat: 10","10","531.72","0.865757894897461"
"nlat: 8","8","532.0478","1.219359033203125"
