A,B,p-value,Effect size
random,ga,0.97,"-0.02, N"
random,ambiegen,0.307,"0.273, S"
random,tumb,0.0,"1.0, L"
random,rilast,0.254,"0.286, S"
ga,ambiegen,0.084,"0.455, M"
ga,tumb,0.0,"1.0, L"
ga,rilast,0.05,"0.486, L"
ambiegen,tumb,0.0,"1.0, L"
ambiegen,rilast,0.805,"0.065, N"
tumb,rilast,0.0,"-1.0, L"
