Metric,ran,ga1,ga2,vr_ran,vr_ga1,vr_ga2,vo_ran,vo_ga1,vo_ga2
Failure number,18.5,20.9,16.5,12.583,18.125,35.7,69.1,75.182,86.6
Mean sparseness,28.427,26.804,26.962,27.552,29.285,28.213,29.836,29.543,27.692
