"Name","nlat","time","validation_loss"
"nlat: 15","15","528.4984000000001","0.10719115524291993"
"nlat: 20","20","551.71","0.10767605133056642"
"nlat: 22","22","534.2862","0.10792871589660645"
"nlat: 16","16","519.634375","0.10797850728034973"
"nlat: 17","17","520.8374444444444","0.10820321718851725"
"nlat: 25","25","525.3340000000001","0.1085672836303711"
"nlat: 14","14","530.2764000000001","0.110251806640625"
"nlat: 12","12","529.6938","0.13434491081237793"
"nlat: 10","10","528.835","0.24095156021118166"
"nlat: 8","8","529.4694000000001","0.4685953567504883"
