Metric,ran,ga1,ga2,vr_ran,vr_ga1,vr_ga2,vo_ran,vo_ga1,vo_ga2
Failure number,4.6,12.1,15.6,2.3,7.3,16.143,26.8,35.2,56.214
Mean sparseness,0.292,0.281,0.193,0.371,0.243,0.266,0.221,0.176,0.231
