A,B,p-value,Effect size
rs,ga,0.025,"-0.6, L"
rs,amb,0.0,"-1.0, L"
rs,tumb,0.001,"-1.0, L"
rs,vae,0.0,"-1.0, L"
ga,amb,0.001,"-0.855, L"
ga,tumb,0.001,"-1.0, L"
ga,vae,0.0,"-1.0, L"
amb,tumb,0.001,"-0.935, L"
amb,vae,0.007,"-0.643, L"
tumb,vae,0.044,"0.561, L"
