A,B,p-value,Effect size
rs,ga,0.343,"-0.26, S"
rs,amb,0.001,"-0.89, L"
rs,rigaa,0.03,"-0.6, L"
rs,crag,0.004,"-0.725, L"
rs,vae,0.0,"-1.0, L"
ga,amb,0.011,"-0.68, L"
ga,rigaa,0.219,"-0.344, M"
ga,crag,0.074,"-0.458, M"
ga,vae,0.0,"-1.0, L"
amb,rigaa,0.12,"0.433, M"
amb,crag,0.098,"0.425, M"
amb,vae,0.0,"-1.0, L"
rigaa,crag,0.858,"-0.056, N"
rigaa,vae,0.0,"-1.0, L"
crag,vae,0.0,"-1.0, L"
