A,B,p-value,Effect size
rs,ga,0.345,"0.26, S"
rs,amb,0.14,"0.4, M"
rs,rigaa,0.391,"0.244, S"
rs,crag,0.621,"-0.133, N"
rs,vae,0.473,"0.2, S"
ga,amb,0.678,"0.12, N"
ga,rigaa,1.0,"0.0, N"
ga,crag,0.223,"-0.317, S"
ga,vae,0.623,"-0.14, N"
amb,rigaa,0.775,"-0.089, N"
amb,crag,0.07,"-0.467, M"
amb,vae,0.345,"-0.26, S"
rigaa,crag,0.166,"-0.37, M"
rigaa,vae,0.488,"-0.2, S"
crag,vae,0.199,"0.333, M"
